Unique signal strength of Vivo,Average Signal Strength
-58.0,-58.11764705882353
-59.0,-60.806451612903224
-63.0,-60.95
-54.0,-51.8
-56.0,-58.42857142857143
-60.0,-61.53260869565217
-55.0,-58.5
-51.0,-52.0
-64.0,-59.59090909090909
-61.0,-64.7
-69.0,-64.0909090909091
-71.0,-59.5
-68.0,-61.529411764705884
-65.0,-58.94736842105263
-66.0,-58.04761904761905
-70.0,-60.0
-62.0,-61.333333333333336
-72.0,-55.5
-73.0,-51.0
-67.0,-58.833333333333336
-57.0,-61.5
-63.5,-63.0
-74.0,-58.0
-61.5,-61.0
-60.5,-63.0
-64.5,-62.5
-52.0,
