mac_address,ssid,timestamp,cap1_channel,cap2_channel,cap3_channel,cap1_signal_strength,cap2_signal_strength,cap3_signal_strength
56:3A:A2:F8:0C:63,C3,2023-11-15 18:46:55,,,2447.0,,,-73.0
56:3A:A2:F8:0C:63,C3,2023-11-15 18:47:02,2442.0,,,-56.0,,
56:3A:A2:F8:0C:63,C3,2023-11-15 18:47:22,2447.0,,2437.0,-67.0,,-74.0
56:3A:A2:F8:0C:63,C3,2023-11-15 18:47:42,,2437.0,,,-90.0,
56:3A:A2:F8:0C:63,C3,2023-11-15 18:47:43,2442.0,,,-62.0,,
56:3A:A2:F8:0C:63,C3,2023-11-15 18:47:45,,,2447.0,,,-68.0
FA:C0:A6:71:FA:ED,AP4,2023-11-15 18:46:55,,,2437.0,,,-63.0
FA:C0:A6:71:FA:ED,AP4,2023-11-15 18:47:02,2437.0,,,-52.0,,
FA:C0:A6:71:FA:ED,AP4,2023-11-15 18:47:22,2437.0,,,-58.0,,
FA:C0:A6:71:FA:ED,AP4,2023-11-15 18:47:43,2437.0,,,-56.0,,
FE:47:AD:D7:13:E2,C1,2023-11-15 18:46:55,,,2447.0,,,-64.0
FE:47:AD:D7:13:E2,C1,2023-11-15 18:47:02,2442.0,,,-61.0,,
FE:47:AD:D7:13:E2,C1,2023-11-15 18:47:22,2442.0,,2437.0,-65.0,,-69.0
FE:47:AD:D7:13:E2,C1,2023-11-15 18:47:43,2437.0,,,-61.0,,
FE:47:AD:D7:13:E2,C1,2023-11-15 18:47:45,,,2442.0,,,-66.0
