mac_address,ssid,channel,signal_strength,source,timestamp
FA:C0:A6:71:FA:ED,AP4,2437,-58,cap2,2023-11-29 11:01:19
FA:C0:A6:71:FA:ED,AP4,2437,-58,cap2,2023-11-29 11:01:20
80:26:89:AF:C9:F0,CpE_Wifi,2432,-67,cap2,2023-11-29 11:01:20
FE:47:AD:D7:13:E2,C1,2437,-70,cap2,2023-11-29 11:47:27
FE:47:AD:D7:13:E2,C1,2437,-70,cap2,2023-11-29 11:47:28
FE:47:AD:D7:13:E2,C1,2442,-66,cap2,2023-11-29 11:47:29
FE:47:AD:D7:13:E2,C1,2447,-71,cap2,2023-11-29 11:47:31
FE:47:AD:D7:13:E2,C1,2447,-71,cap2,2023-11-29 11:47:32
FE:47:AD:D7:13:E2,C1,2432,-70,cap2,2023-11-29 11:47:33
C2:3B:23:3A:D4:71,C2,2462,-73,cap2,2023-11-29 11:47:34
FE:47:AD:D7:13:E2,C1,2442,-64,cap2,2023-11-29 11:47:34
C2:3B:23:3A:D4:71,C2,2462,-73,cap2,2023-11-29 11:47:35
FE:47:AD:D7:13:E2,C1,2442,-64,cap2,2023-11-29 11:47:35
C2:3B:23:3A:D4:71,C2,2462,-73,cap2,2023-11-29 11:47:36
FE:47:AD:D7:13:E2,C1,2442,-64,cap2,2023-11-29 11:47:36
C2:3B:23:3A:D4:71,C2,2462,-73,cap2,2023-11-29 11:47:37
FE:47:AD:D7:13:E2,C1,2432,-63,cap2,2023-11-29 11:47:37
